rank,symbol,company,industry,current_price,prev_close,pct_change,current_volume,avg_volume_20d,volume_ratio,has_news,headlines,news_source
361,PCBL,PCBL Chemical Ltd.,Chemicals,319.05,293.75,8.61,55822753,2722035,20.51,True,PCBL Chemical Limited Submits Q3FY26 Monitoring Agency Report for Preferential Issue of Warrants - scanx.trade | PCBL Chemical Ltd Faces Technical Setbacks Amid Mixed Momentum Signals - Markets Mojo | PCBL Chemical Limited Monitoring Agency Report Filed for Preferential Issue Warrants (Q3 FY26) - InvestyWise | PCBL Chemical Ltd Sees Exceptional Volume Surge Amid Strong Price Rally - Markets Mojo | TVS Supply Chain Solutions Ltd leads gainers in 'A' group - Business Standard,scanx.trade | Markets Mojo | InvestyWise | Markets Mojo | Business Standard
278,JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,863.0,828.9,4.11,2502030,394167,6.35,True,Jyoti CNC Automation Ltd Reports Negative Financial Trend Amid Record Quarterly Sales - Markets Mojo | Jyoti CNC Automation Ltd is Rated Sell - Markets Mojo | Bharti Hexacom Limited Announcement of Change in Senior Management Personnel - InvestyWise | OneSource Specialty Pharma Secures Saudi Approval for Generic Ozempic in Partnership with Hikma - InvestyWise | Jyoti CNC Issues Investor Presentation With Comprehensive Disclaimers - TipRanks,Markets Mojo | Markets Mojo | InvestyWise | InvestyWise | TipRanks
403,SJVN,SJVN Ltd.,Power,77.38,72.8,6.29,26848886,4899738,5.48,True,"Sjvn Q3 FY26 Results: Net Profit increases upto 50 percent, declares dividend Rs 1.15 - PSU Connect | SJVN Ltd. Hits Intraday High with 6.21% Surge on 11 Feb 2026 - Markets Mojo | SJVN Q3 net profit up nearly 51% to Rs 224 crore - Moneycontrol | SJVN’s consolidated Q3 profit rises on capacity additions, but 9-month earnings decline - PSU Watch | SJVN Limited Board Approves Q3 FY2025-26 Results and ₹1,000 Crore Fundraising via NCDs - InvestyWise",PSU Connect | Markets Mojo | Moneycontrol | PSU Watch | InvestyWise
261,JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,604.9,571.65,5.82,6675762,1266070,5.27,True,"Sanjay Sharma, JK Tyre’s blue eyed motorsport champ is no more - motownindia.com | JK Tyre Q3 net profit more than triples to 2.09 billion rupees - Tyrepress | JK Tyre shares rise for 4th straight day to hit 52-week high, surge over 20% YTD; here’s why - Upstox | Earnings Update: Here's Why Analysts Just Lifted Their JK Tyre & Industries Limited (NSE:JKTYRE) Price Target To ₹547 - simplywall.st | JK Tyre & Industries Ltd Quality Grade Downgrade: A Detailed Analysis of Business Fundamentals - Markets Mojo",motownindia.com | Tyrepress | Upstox | simplywall.st | Markets Mojo
291,KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,1324.6,1264.7,4.74,700199,196941,3.56,True,"Kirloskar Oil Engines Q3: Net profit soars 56%, revenue up 29%; dividend announced - CNBC TV18 | Kirloskar Oil Engines Announces Incorporation of Wholly Owned Subsidiary for Advanced Systems - InvestyWise | Kirloskar Oil Engines Approves AED 3.2 Million Investment in Subsidiary KIME for Strategic Expansion - InvestyWise | Kirloskar Oil Engines Reports Strong Q3 FY26 Results with Robust Revenue and Profit Growth - InvestyWise | Q3 Results Live Updates: Godrej Industries profit jumps 9% to ₹205 crore, revenue up 5% - Upstox",CNBC TV18 | InvestyWise | InvestyWise | InvestyWise | Upstox
496,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,15950.0,15220.0,4.8,43377,12585,3.45,True,"ZF Commercial Vehicle gains as Q3 PAT jumps 12% YoY to Rs 140 cr - Business Standard | MRPL among 4 smallcap stocks that hit 52-week highs & rallied up to 40% in a month - The Economic Times | Stocks to Watch Today: Apollo Hospitals, Titan, Ather Energy, BHEL, Ion Exchange, TVS Supply, HEG, Torrent Power, Jubilant Foodworks, Eicher Motors in focus on 11 February - Moneycontrol | Stocks To Watch Today: Ashok Leyland, Mahindra & Mahindra, Tata Capital, SJVN And Patanjali Foods - NDTV Profit | Market trade sideways; pharma shares advance - Business Standard",Business Standard | The Economic Times | Moneycontrol | NDTV Profit | Business Standard
297,LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,421.95,412.75,2.23,2563957,875006,2.93,True,Global Rice Market Size and Forecast 2025 - vocal.media,vocal.media
363,PIIND,PI Industries Ltd.,Chemicals,3281.1,3190.6,2.84,528488,199641,2.65,True,P I Industries Ltd Sees Sharp Open Interest Surge Amid Bullish Derivatives Activity - Markets Mojo | PI Industries shares rise 2.17% in Wednesday's session - Moneycontrol | PI Industries shares jump 2.84% amid volume surge; stock among top gainers on Nifty Midcap 150 - Moneycontrol | P I Industries Ltd is Rated Sell by MarketsMOJO - Markets Mojo | Dow Jones Today | US Stock Market Highlights: Dow Jones is little changed as investor enthusiasm for better-th - CNBC TV18,Markets Mojo | Moneycontrol | Moneycontrol | Markets Mojo | CNBC TV18
426,SBIN,State Bank of India,Financial Services,1182.9,1143.0,3.49,29488298,11880443,2.48,True,"SBI Clerk 2025-26 Mains Result LIVE: Check Expected Cutoff & Scorecard Download Link at sbi.bank.in - Shiksha.com | Nationwide bank strike on February 12, 2026: Will bank work be affected? SBI, Bank of Baroda alerts BSE - The Economic Times | State Bank Of India Overtakes TCS To Become Fourth Most Valued Company In India - NDTV Profit | PSU bank rally: SBI overtakes TCS to become India’s 4th most valuable listed firm - Times of India | Buy State Bank of India; target of Rs 1300: Motilal Oswal - Moneycontrol",Shiksha.com | The Economic Times | NDTV Profit | Times of India | Moneycontrol
371,PFIZER,Pfizer Ltd.,Healthcare,5197.8,4944.8,5.12,141057,57214,2.47,True,"Pfizer Ltd. Q2 FY26: Strong Profitability Masks Valuation Concerns - Markets Mojo | Anabolic Steroids Market Research Report 2026 - Insightace Analytic | Can Pfizer's New & Acquired Drugs Offset Its Looming Patent Cliff? - Yahoo Finance Singapore | Pfizer stock hits 52-week high at 27.7 USD By Investing.com - Investing.com India | Drug Makers Confront Headwinds In 2026, But MFN Doesn’t Seem Like A Big One - Citeline News & Insights",Markets Mojo | Insightace Analytic | Yahoo Finance Singapore | Investing.com India | Citeline News & Insights
